build_year,facades,garden,living_area,locality_name,number_rooms,postal_code,price,property_id,property_type,property_url,state,swimming_pool,terrace,province,property_type_name,state_mapped
2021,,0,134,Oostende,3,8400.0,875000.0,rbt69717,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbt69717,,0,1,West Flanders,apartment,
2023,4.0,1,143,Bommershoven,3,3840.0,395000.0,rbu34325,Residence,https://immovlan.be/en/detail/residence/for-sale/3840/bommershoven/rbu34325,,0,1,Limburg,house,
1930,,0,,Vilvoorde,3,1800.0,335000.0,rbu69348,Duplex,https://immovlan.be/en/detail/duplex/for-sale/1800/vilvoorde/rbu69348,,0,1,Flemish Brabant,apartment,
,,1,,Dudzele,2,8380.0,399000.0,rbu60155,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8380/dudzele/rbu60155,,0,1,West Flanders,apartment,
,2.0,1,127,Oostakker,3,9041.0,421293.0,rbu64804,Residence,https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64804,,0,0,East Flanders,house,
,,0,120,Charleroi,3,6000.0,165000.0,vbd48936,Apartment,https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbd48936,,0,1,Hainaut,apartment,
,,1,69.0,Paal,1,3583.0,259975.0,RBU38500,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3583/paal/rbu38500,New,0,1,Limburg,apartment,ready_to_move_in
1967,3.0,1,162,Lanklaar,4,3650.0,239500.0,rbu27318,Residence,https://immovlan.be/en/detail/residence/for-sale/3650/lanklaar/rbu27318,To be renovated,0,1,Limburg,house,to_renovate
1899,2.0,0,88,Kortrijk,2,8500.0,165000.0,rbu48364,Residence,https://immovlan.be/en/detail/residence/for-sale/8500/kortrijk/rbu48364,,0,0,West Flanders,house,
,,0,98.0,Tournai,2,7500.0,280500.0,VBD46190,Apartment,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbd46190,,1,1,Hainaut,apartment,
2016,,0,70,Arlon,2,6700.0,299000.0,vbd44529,Apartment,https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbd44529,Normal,0,1,Luxembourg,apartment,ready_to_move_in
1970,4.0,1,245,Waterloo,5,1410.0,850000.0,vbd46837,Residence,https://immovlan.be/en/detail/residence/for-sale/1410/waterloo/vbd46837,Excellent,0,1,Walloon Brabant,house,ready_to_move_in
,,0,79.0,Namur,2,5000.0,270471.0,VBD44212,Apartment,https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbd44212,New,0,1,Namur,apartment,ready_to_move_in
1910,2.0,1,343,Assesse,6,5330.0,595000.0,vbd33122,Residence,https://immovlan.be/en/detail/residence/for-sale/5330/assesse/vbd33122,,1,1,Namur,house,
2013,,0,242,Herentals,3,2200.0,535000.0,rbu66856,Residence,https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rbu66856,New,0,1,Antwerp,house,ready_to_move_in
1970,3.0,1,142,Sint-Gillis-Waas,3,9170.0,325000.0,rbu60211,Residence,https://immovlan.be/en/detail/residence/for-sale/9170/sint-gillis-waas/rbu60211,Normal,0,1,East Flanders,house,ready_to_move_in
,,0,90.0,Jambes,2,5100.0,,VBD41066,Apartment,https://immovlan.be/en/detail/apartment/for-sale/5100/jambes/vbd41066,,0,1,Namur,apartment,
1994,,1,242,Lommel,4,3920.0,599000.0,rbu44606,Villa,https://immovlan.be/en/detail/villa/for-sale/3920/lommel/rbu44606,Normal,0,1,Limburg,exceptional,ready_to_move_in
,,0,63.0,Namur,1,5000.0,,VBD41123,Apartment,https://immovlan.be/en/detail/apartment/for-sale/5100/jambes/vbd41123,,0,1,Namur,apartment,
2001,4.0,1,290,Libin,5,6890.0,499000.0,vbd46743,Residence,https://immovlan.be/en/detail/residence/for-sale/6890/libin/vbd46743,Excellent,1,1,Luxembourg,house,ready_to_move_in
,,1,65,Blankenberge,2,8370.0,219000.0,rbu66130,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8370/blankenberge/rbu66130,,0,1,West Flanders,apartment,
,,1,71.0,Maldegem,2,9990.0,315000.0,RBJ24046,Apartment,https://immovlan.be/en/detail/apartment/for-sale/9990/maldegem/rbj24046,New,0,1,East Flanders,apartment,ready_to_move_in
,2.0,1,80.0,Sint-Lambrechts-Woluwe,1,1200.0,515000.0,VBD48033,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbd48033,New,0,1,Brussels Capital Region,apartment,ready_to_move_in
,,0,97,Bastogne,2,6600.0,315000.0,vbd18878,Apartment,https://immovlan.be/en/detail/apartment/for-sale/6600/bastogne/vbd18878,,0,,Luxembourg,apartment,
,,1,117.0,Hasselt,2,3500.0,454000.0,RBG70168,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3500/hasselt/rbg70168,New,0,1,Limburg,apartment,ready_to_move_in
