number_rooms,living_area,property_house,state_ready,postal_code_target,price_log
1.0,87.0,1,1,12.909839579932562,12.384223015005311
1.0,63.0,0,1,12.59808460325479,12.345838935721968
3.0,125.0,1,1,12.681135645917617,12.83468397161566
3.0,110.0,0,1,12.641384174630645,12.878731363662782
3.0,150.0,1,1,13.140475605648833,13.34550852871726
3.0,92.0,0,1,12.760347498890738,12.703816069256568
5.0,440.0,0,1,12.128561497633193,12.128116509451258
2.0,178.0,0,1,12.721297550938827,12.59473402514672
1.0,74.0,0,1,12.652350096661463,12.48937388613538
2.0,90.0,0,1,12.709723722427672,12.71439814659232
2.0,76.0,0,1,12.785544835874143,12.608202196848836
3.0,138.0,1,1,12.686173544840315,12.77422616877261
3.0,187.0,0,1,12.900865526029898,13.579789490265188
3.0,225.0,1,1,12.723132614696244,12.818554633046093
3.0,151.0,0,1,12.675463646026023,12.89897229545694
1.0,67.0,0,1,12.556675577392793,12.460718739865236
2.0,91.0,0,1,12.499900131023233,12.59473402514672
1.0,69.0,1,1,12.906419010571593,12.128116509451258
2.0,107.0,0,1,13.369330144095796,13.296318365198625
2.0,217.0,1,0,12.856690790423274,13.005831808336865
4.0,217.0,1,1,12.8884011716812,13.005831808336865
2.0,95.0,0,1,12.560193588678985,12.660331092405906
2.0,117.0,0,1,13.518301977246622,12.886643575525625
2.0,83.0,0,1,12.724088331272839,12.871337193291367
3.0,188.0,1,1,13.088270541095733,12.896719202134523
4.0,199.0,1,1,12.908065565503687,13.112315061750808
2.0,87.0,0,1,12.52760560748655,12.388398368982116
4.0,208.0,1,1,12.6855548672473,12.84265212010087
4.0,290.0,1,1,13.083663338775446,13.296318365198625
3.0,179.0,1,0,12.819589792383468,12.861001210669146
2.0,81.0,0,1,12.499900131023233,12.506180941677355
3.0,125.0,0,1,12.675463646026023,12.762256837985328
1.0,94.0,0,1,12.8884011716812,12.296831574998258
1.0,83.0,1,1,12.823762174085225,12.676079399771028
7.0,391.0,1,1,12.530888619483488,13.296318365198625
2.0,96.0,0,1,12.499900131023233,12.560247968016562
3.0,150.0,1,1,12.530663403025743,13.07107218827772
3.0,252.0,1,1,13.208027697577084,13.451668563394817
3.0,265.0,1,1,12.746472802152937,12.04355959836804
3.0,253.0,0,1,12.683355500303708,13.269059483669356
5.0,209.0,1,1,12.764464584724184,13.112315061750808
2.0,98.0,0,1,12.453264182066027,12.629708330910852
2.0,144.0,1,1,12.614947652383053,12.765691290604371
2.0,79.0,1,1,12.860106666211681,12.506180941677355
2.0,99.0,0,1,12.560193588678985,12.706850963741102
2.0,89.0,0,1,12.413224922157928,12.367345048436391
2.0,97.0,0,1,12.646895328930679,12.660331092405906
3.0,116.0,0,1,12.693054046138164,12.762830066509972
1.0,62.0,0,1,12.497274082896737,12.278397958261774
2.0,96.0,0,1,12.527580483409594,12.574185427296197
4.0,240.0,1,1,13.49489144544406,13.573440270649083
2.0,134.0,0,1,12.712345536300075,12.61087420020211
3.0,228.0,1,1,12.48702617904154,12.976750149598727
3.0,178.0,0,1,12.48702617904154,13.774689605110144
2.0,91.0,0,1,12.648743433150571,12.676079399771028
2.0,87.0,0,1,12.648743433150571,12.59473402514672
1.0,80.0,0,1,13.518301977246622,13.091906231773164
3.0,160.0,1,1,12.52760560748655,12.6410997921206
