number_rooms,living_area,price_log
5.0,171.0,12.59473402514672
3.0,120.0,12.853178505386332
2.0,90.0,12.611541086966117
3.0,174.0,12.724869415131389
2.0,95.0,12.779875885354992
2.0,101.0,12.56821610981844
3.0,121.0,13.157346277545296
2.0,75.0,14.026582337760486
1.0,62.0,12.301387370778713
4.0,200.0,13.790193775620484
1.0,66.0,12.301387370778713
2.0,88.0,12.230770136157428
2.0,100.0,13.049794835104816
3.0,147.0,12.912846559004777
5.0,379.0,13.704580114574805
2.0,104.0,12.676079399771028
3.0,91.0,12.468440756144114
3.0,200.0,12.992256969959042
3.0,155.0,13.014780393893403
2.0,130.0,13.303018546545276
2.0,99.0,12.574185427296197
1.0,57.0,11.51293546492023
2.0,61.0,12.095146671399466
4.0,276.0,13.68198030819624
2.0,105.0,12.764012744568548
3.0,120.0,12.994532278619134
2.0,100.0,11.502885230075814
2.0,89.0,12.463041612288444
2.0,86.0,12.323860125621126
3.0,220.0,12.762830066509972
3.0,156.0,12.966880811009805
2.0,77.0,12.429220196836384
4.0,183.0,13.021477281030302
1.0,52.0,12.25486757159303
2.0,83.0,12.506180941677355
5.0,240.0,12.959846800844964
5.0,250.0,12.748399843328054
4.0,221.0,13.451668563394817
5.0,200.0,12.969214528909768
3.0,151.0,13.100119813444692
2.0,96.0,12.570719231334277
3.0,126.0,12.84529412258351
3.0,124.0,13.036554912988816
2.0,141.0,13.161586013632684
1.0,83.0,12.201065128819632
3.0,187.0,12.574185427296197
2.0,117.0,12.57694975951839
4.0,183.0,13.457407451830088
3.0,104.0,12.896719202134523
4.0,166.0,13.07107218827772
3.0,158.0,12.958669640443368
4.0,242.0,13.303018546545276
1.0,86.0,12.53897064502647
1.0,65.0,12.386312871189734
1.0,58.0,12.154784614286667
2.0,110.0,12.897721203716351
2.0,91.0,12.54974390687808
3.0,169.0,13.062615496138552
1.0,75.0,12.30592250537653
4.0,170.0,12.987690762404627
4.0,178.0,12.409017571151187
5.0,289.0,12.945628585536271
1.0,54.0,12.323860125621126
2.0,95.0,12.917798665647773
2.0,64.0,11.904974309480185
2.0,106.0,12.793862088206213
2.0,117.0,13.120363378739665
3.0,185.0,13.303048596127088
4.0,140.0,12.323860125621126
3.0,165.0,13.451668563394817
2.0,131.0,12.15214958053555
7.0,280.0,13.269059483669356
7.0,232.0,12.429220196836384
4.0,169.0,13.54763241999736
3.0,140.0,12.886643575525625
2.0,104.0,12.660331092405906
